briefDescription,description,functionSummary,chromosome,ORF,Gene,phenotypeSummary,orf_strand,end,start,Gene_ORF
High affinity sulfate permease of the SulP anion transporter family,"High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates",Sulfate transmembrane transporter localized to plasma membrane,chrII,YBR294W,SUL1,,1,791814,789235,SUL1
High affinity tryptophan and tyrosine permease,High affinity tryptophan and tyrosine permease; overexpression confers FK506 and FTY720 resistance,,chrXV,YOL020W,TAT2,,1,287950,286172,TAT2
"High affinity uridine permease, localizes to the plasma membrane","High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress","Uridine transmembrane transporter that localizes to cell periphery, plasma membrane and vacuole",chrII,YBL042C,FUI1,,-1,140260,138341,FUI1
High-affinity zinc transporter of the plasma membrane,High-affinity zinc transporter of the plasma membrane; responsible for the majority of zinc uptake; transcription is induced under low-zinc conditions by the Zap1p transcription factor,High-affinity zinc uptake transmembrane transporter of the plasma membrane involved in zinc ion transport,chrVII,YGL255W,ZRT1,"Non-essential gene; null mutants grow slowly, are challenged in using urea as a nitrogen source, and have low intracellular zinc levels; null mutants are sensitive to cadmium, propolis extract, gliotoxin, chelator EDTA, herbicide amitrole, suffer increased mutation frequency, and show decreased competitive fitness as haploids and diploids; heterozygous diploid nulls are haploinsufficient
",1,22108,20978,ZRT1
Highly-acidic RWD domain-containing cytoplasmic protein,Highly-acidic RWD domain-containing cytoplasmic protein; forms a highly conserved complex with Rbg2p that is responsible for efficient cell growth under amino acid starvation and binds translational activator Gcn1p in dose-dependent manner according to stress level; associates with translating ribosomes; intrinsically unstructured protein whose stability is enhanced upon binding Rbg2p,Cytoplasmic stress-sensing translation regulator involved in the cellular response to amino acid starvation,chrIV,YDR152W,GIR2,,1,766503,765706,GIR2
Highly conserved ATPase of HSP70/DnaK family,"Highly conserved ATPase of HSP70/DnaK family; essential functional component of the EKC/KEOPS complex, with Bud32p, Cgi121p, Pcc1p, and Gon7p; EKC/KEOPS complex is required for t6A tRNA modification and telomeric TG1-3 recombination; may have role in transcription","Subunit of EKC/KEOPS complex capable of chromatin binding; contributes to telomere maintenance via recombination, transfer RNA (tRNA) modification, and chromosome organization; involved in tRNA threonylcarbamoyladenosine metabolism and positive regulation of transcription by RNA polymerase II",chrXI,YKR038C,KAE1,"Essential gene; reduction of function depletes tRNA t6A modification and leads to slow growth, shortened telomeres and severe chromosome instability
",-1,513159,511999,KAE1
Highly conserved iron-sulfur cluster binding protein,Highly conserved iron-sulfur cluster binding protein; localized in the cytoplasm; forms a complex with Nbp35p that is involved in iron-sulfur protein assembly in the cytosol,,chrIX,YIL003W,CFD1,"Essential gene; reduction of function causes decreased fitness in a competitive growth study; heterozygous null mutation confers increased sensitivity to myriocin, verrucarin A, 2-deoxy-glucose, benzo[a]pyrene",1,350003,349122,CFD1
Highly conserved negative regulator of RNA polymerase III,"Highly conserved negative regulator of RNA polymerase III; involved in tRNA processing and stability; inhibits tRNA degradation via rapid tRNA decay (RTD) pathway; binds N-terminal domain of Rpc160p subunit of Pol III to prevent closed-complex formation; regulated by phosphorylation mediated by TORC1, protein kinase A, Sch9p, casein kinase 2; localizes to cytoplasm during vegetative growth and translocates to nucleus and nucleolus under stress conditions","RNA polymerase III inhibitor, involved in silencing and repression of tRNA genes; localizes to both the nucleus and cytoplasm",chrIV,YDR005C,MAF1,"Non-essential gene; null mutant displays a decreased growth rate, decreased utilization of glutamate, ribose, and is unable to grow on glycerol at elevated temperature; null mutant accumulates tRNA relative to total RNA and shows decreased silencing at tRNA genes adjacent to strong RNA pol II promoters; null mutant displays decreased biofilm formation; overexpression results in decreased vegetative growth, decreased filamentous growth and is unable to invade agar; diploid null displays decreased sporulation efficiency
",-1,458103,456836,MAF1
Highly-conserved N-terminally anchored AAA-ATPase,"Highly-conserved N-terminally anchored AAA-ATPase; distributed in the mitochondrial outer membrane and peroxisomes; involved in mitochondrial protein sorting; functions as an extraction engine in local organelle surveillance to remove and initiate degradation of mistargeted proteins, ensuring fidelity of organelle-specific localization of tail-anchored proteins; contains an N-terminal transmembrane domain and C-terminal cytoplasmic ATPase domain",,chrVII,YGR028W,MSP1,,1,543291,542203,MSP1
Highly conserved subunit of mitochondrial pyruvate carrier (MPC),"Highly conserved subunit of mitochondrial pyruvate carrier (MPC); MPC is a mitochondrial inner membrane complex that mediates pyruvate uptake and comprises Mpc1p and Mpc2p during fermentative growth, or Mcp1p and Mpc3p during respiratory growth; null mutant displays slow growth that is complemented by expression of human or mouse ortholog; mutation in human ortholog MPC1 is associated with lactic acidosis and hyperpyruvatemia",Pyruvate transporter of the mitochondrial inner membrane,chrVII,YGL080W,MPC1,"Non-essential gene; null mutant is auxotrophic for valine, grows slowly, accumulates pyruvate, and shows decreased competitive fitness
",1,359028,358636,MPC1
Highly conserved subunit of the mitochondrial pyruvate carrier (MPC),"Highly conserved subunit of the mitochondrial pyruvate carrier (MPC); expressed during growth on fermentable carbon sources, and heterodimerizes with Mpc1p to form the fermentative isoform of MPC; MPC localizes to the mitochondrial inner membrane and mediates pyruvate uptake; MPC2 paralog, MPC3, heterodimerizes with Mpc1p to form the respiratory MPC isoform",Integral membrane protein of the mitochondrial inner membrane with pyruvate transporter activity,chrVIII,YHR162W,MPC2,,1,423461,423072,MPC2
Highly conserved subunit of the mitochondrial pyruvate carrier (MPC),"Highly conserved subunit of the mitochondrial pyruvate carrier (MPC); expressed during growth on nonfermentable carbon sources, and heterodimerizes with Mpc1p to form the respiratory isoform of MPC; MPC localizes to the mitochondrial inner membrane and mediates pyruvate uptake; MPC3 paralog, MPC2, heterodimerizes with Mpc1p to form the fermentative MPC isoform; protein abundance increases in response to DNA replication stress",,chrVII,YGR243W,MPC3,,1,977776,977336,MPC3
Highly conserved SUMO E3 ligase subunit of SMC5-SMC6 complex,"Highly conserved SUMO E3 ligase subunit of SMC5-SMC6 complex; required for anchoring dsDNA breaks to the nuclear periphery; SMC5-SMC6 plays a key role in removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; required for efficient sister chromatid cohesion; mutants are sensitive to MMS, show increased spontaneous mutation and mitotic recombination; SUMOylates and inhibits Snf1p function; supports nucleolar function",Subunit of Smc5-Smc6 complex with SUMO transferase and negatively regulates protein serine/threonine kinases; involved in DNA repair; localized to the nuclear envelope,chrV,YEL019C,MMS21,,-1,121301,120498,MMS21
Highly conserved zinc metalloprotease,"Highly conserved zinc metalloprotease; functions in two steps of a-factor maturation, C-terminal CAAX proteolysis and the first step of N-terminal proteolytic processing; cleaves both isoprenylated and non-prenylated oligopeptides; contains multiple transmembrane spans; human homolog ZMPSTE24 implicated in mandibuloacral dysplasia (MAD), and can complement yeast null mutant","Metalloendopeptidase involved in the CAAX-box dependent processing and maturation of a-factor mating pheromone; localizes to both the inner nuclear membrane, and integral to the endoplasmic reticulum membrane",chrX,YJR117W,STE24,"Non-essential gene; null mutant exhibits reduced mating and pheromone, sensitivity to Ni2+, and proliferation of the nuclear inner membrane; in large-scale studies, null mutant shows increased competitive fitness, decreased mating response and anaerobic growth, and abnormal secretion of Kar2p; overexpression in the Sigma1278b genetic background confers enhanced pseudohyphal growth; null mutant displays altered resistance to a variety of chemicals
",1,643368,642007,STE24
High-mobility group (HMG) protein,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to chromosomes; functionally redundant with Nhp6Bp; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6A has a paralog, NHP6B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress","DNA and nucleosome-binding protein involved in chromatin remodeling, assembly of the RNA polymerase II and III pre-initiation complexes, and maintenance of transcriptional fidelity; localizes in the nucleus",chrXVI,YPR052C,NHP6A,,-1,665974,665693,NHP6A
High-mobility group (HMG) protein,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog, NHP6A, that arose from the whole genome duplication","DNA and nucleosome-binding protein involved in chromatin remodeling, assembly of the RNA polymerase II and III pre-initiation complexes, and maintenance of transcriptional fidelity; localizes in the nucleus",chrII,YBR089C-A,NHP6B,,-1,426489,426190,NHP6B
High osmolarity-regulated gene of unknown function,High osmolarity-regulated gene of unknown function,Predicted integral membrane protein whose biological role is unknown,chrVIII,YHR078W,,,1,258018,256360,YHR078W
"Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis","Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis",,chrXI,tH(GUG)K,,,-1,313472,313401,tH(GUG)K
"Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis","Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis",,chrXIII,tH(GUG)M,,,1,363135,363064,tH(GUG)M
"Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis","Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis",,chrV,tH(GUG)E1,,,1,207428,207357,tH(GUG)E1
"Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis","Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis",,chrV,tH(GUG)E2,,,-1,434612,434541,tH(GUG)E2
"Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis","Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis",,chrVII,tH(GUG)G1,,,-1,110696,110625,tH(GUG)G1
"Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis","Histidine tRNA (tRNA-His), predicted by tRNAscan-SE analysis",,chrVII,tH(GUG)G2,,,1,319852,319781,tH(GUG)G2
